screen_name,text,sentiment
GojekTomohon,"Hallo Tomohon
Kini Gojek telah hadir di Kota Tomohon, satu aplikasi untuk segala kebutuhanmu. Download #Goj ##HidupTanpaBatas #GojekTomohon",netral
GojekTomohon,"Kini Gojek telah hadir di Kota Tomohon, satu aplikasi untuk segala kebutuhanmu.
Download #Gojek dan mulai # ##HidupTanpaBatas #GojekTomohon",netral
GojekTomohon,"Anter barang tanpa repot ? #GoSend-in Aja, dan mulai #HidupTanpaBatas dengan #Gojek follow kita ya di GojekTomohon, kaka",netral
GojekTomohon,"Malam2 habis pulsa ? #GoPulsa-in Aja Download #Gojek sekarang, nikmati #HidupTanpaBatas bersama #GojekTomohon",netral
GojekTomohon,"Kenyang tanpa masak ? #GoFood-in aja
Download #Gojek dan mulai #HidupTanpaBatas di Tomohon ##HidupTanpaBatas #GojekTomohon",netral
GojekTomohon,"Hallo Tomohon Kini Gojek telah hadir di Kota Tomohon, satu aplikasi untuk segala kebutuhanmu",netral
GojekTomohon,"Laper tanpa pusing cari parkir, #GoFood jadi solusinya Download #Gojek sekarang, nikmati #HidupTanpaBatas bersama #GojekTomohon",netral
GojekTomohon,"Download #Gojek di Playstore/Appstore, mulai #HidupTanpaBatas dengan #Gojek  follow kita ya di GojekTomohon",netral
GojekTomohon,"Kehabisan pulsa tanpa susah, #GoPulsa jadi solusinya  Download #Gojek sekarang, nikmati #HidupTanpaBatas bersama #GojekTomohon",netral
GojekTomohon,"Pake #Go-Ride, lebih dekat dan lebih mudah
Download #Gojek, dan mulai #HidupTanpaBatas di Tomohon ##HidupTanpaBatas #GojekTomohon",netral
GojekTomohon,"Malam2 laper tapi males keluar ? #GoFood-in Aja Download #Gojek sekarang, nikmati #HidupTanpaBatas bersama #GojekTomohon",netral
GojekTomohon,"Laper tapi mager ? #GoFood-in Aja, dan mulai #HidupTanpaBatas dengan #Gojek follow kita ya di GojekTomohon, kaka",netral
GojekTomohon,"Jualan lancar tanpa ribet ngantar, #GoSend jadi solusinya  Download #Gojek sekarang, nikmati #HidupTanpaBatas bersama #GojekTomohon",netral
GojekTomohon,"Kemana aja tanpa susah, #GoRide solusinya Download #Gojek sekarang, nikmati #HidupTanpaBatas bersama #GojekTomohon",netral
GojekTomohon,Jalan2 tanpa repot ? #Goride-in Aja mulai #HidupTanpaBatas dengan #Gojek follow kita ya di GojekTomohon,netral
zegenern,"️️
ㅤㅤㅤgojek (gofood, gosend, dll.)
➽ https://t.co/590RJBx2mq
 ️️",netral
win4winie,"Aku lagi nyari barengann nih nunggu 5 orang. Ada go nya dom tangsel rate 13.1 

Tags mark agent mark silat renjun boring renjun gojek chenle candylab jisung candylab haechan cafe chenle cafe jisung cafe jeno holo standee https://t.co/HAoe71Pqhv",netral
AurellJs,@luckybigwin149 @RobbyKarem @Sabrina_lulizaa @adiluckyman @Oktafiansah75 Naik gojek um...biar gak capek..🙏🏻🙏🏻😁,netral
cuvple,@bbyrdvlvt kalo abang2 gojek udh beristri gmna,netral
Hudat161,"@13ndteloo_ saya dulu pas masih aktif gojek, kalo pas lewat sana terutama malam... agak ngeri dan penasaran pgn noleh, emang dalane yo sepi",netral
betterfangs,udh kesel gojek kesel kucing... eh segala ada kecowa terbang😭😭😭 kasian dara https://t.co/MjREjLky1v,netral
HRJ027,@renleejung LOHHH CONGRATSSSS CORET GOJEK 🥳🥳,positif
ryujinphilee,Gojek lama amat,negatif
ryujinphilee,Gue gak nemu ketoprak yang buka di gojek,netral
prxipoideus,"Hari ini lebaran ? Anjrit ntar pagi ada gojek yang mau ngambil orderan gua ngga ya :""))))))))",netral
_cindyw,Hadeh pdhal td jam 7 dah ktduran segala ditelpon sodara w blg ad gojek makanan ke rumah w jd kebangun🥲 tp makasih deh cheese sticknya enak bun,netral
skydream_29,GUE NGIDAM BANGET RENJUN GOJEK BOOM 😭😭😭😭,netral
Gojekmilitan,"Asalamualaikum
Sahabat Gojek Militan

Semoga Semua Sahabat Dilimpahkan Rezeki, Rahmat dan Hidayahnya 

Aamiin Ya Robb 🤲 https://t.co/NE78tkXmg6",positif
Gojekmilitan,"Alhamdulillah

Terimakasih Untuk Semua sahabat Gojek Militan yang Sudah mendoakan dan Menyisihkan Rezekinya Untuk membantu biaya sekolah tahun Ajaran baru Panti Asuhan Daarul Khoir Al Kailani 

Semoga Berkah dan Bermanfaat Untuk anak kita 

Aamiin Ya Robb 

Selamat buka puasa 🙏 https://t.co/OfN6tyK7HO",positif
Gojekmilitan,"Asalamualaikum

Terimakasih untuk semua Sahabat Gojek Militan yang sudah Mendoakan dan mendukung Program berbagi bersama Yatim dan Dhuafa jumat tgl 16/07/2021

Mohon keikhlasannya untuk berdoa bersama Anak2 Dipanti Al Hayya 

Semoga Doa anak- anak Diijabah 

Aamiin Ya Robb 🤲 https://t.co/f5Wb9N8REm",positif
Gojekmilitan,Yayasan Sahabat Gomil Peduli Yatim Berdiri bukan karena akun gojek militan tetapi berdiri karena Doa dari sahabat semuanya dan Doa anak Yatim dan Dhuafa karena Yayasan ini bukan sengaja dibuat tetapi diberikan Gratis semua biaya pengurusannya sampai semua berkasnya untuk ponpes https://t.co/FELHpuhrXy,positif
Gojekmilitan,"Setelah sebelumnya Kita sudah membagikan Beras sebanyak 5,4 Ton/1800 kantong  dan bantuan dari bang @Tony_HeXa  untuk mendapatkan berasnya untuk warga berdampak PPKM

Semoga  Sahabat Gojek Militan yg sdh Mendoakan dan mensedekahkan Rezekinya mendapat keberkahan

Aamiin ya robb🤲 https://t.co/PtEuQDOr0R",netral
Gojekmilitan,"Asalamualaikum

Sahabat Gojek Militan

Kami menerima  penyaluran Hewan Kurban untuk Dipanti Asuhan dan warga sekitar panti, ada tujuh panti yang tersebar di bogor, depok dan jaksel 

Saluran melalui rekening 
Bank BRI  
094601051607532
Yayasan Sahabat Gomil Peduli Yatim https://t.co/Bc51ZQcLfH",netral
Gojekmilitan,"Asalamualaikum
Sahabat Gojek Militan

Semangat berkurban untuk kita semua. Jadikan hari raya ini pengingat untuk memperkuat keimanan dan persahabatan kita 

Kami Panti Asuhan Al Hayya Mengucapkan Selamat Hari Raya Idul Adha 1442 H 

Semoga Keberkahan untuk kita Semua 

Aamiin https://t.co/jo71oy1EGW",netral
Gojekmilitan,"Asalamualaikum
Sahabat Gojek Militan

Semoga berkah Ilahi membawa harapan, iman, dan sukacita pada Idul Adha hari ini dan selamanya

Selamat Idul Adha 1442 H, mohon maaf lahir dan batin 🙏

Salam dari Kami Santri Panti Asuhan Sakinah Depok 

Kita takbiran disini ya 👍 https://t.co/1A5Fw0NAsY",netral
Diegukguk,@FADHOOR Kui sing nakoni serius po gojek,netral
bebytokyo,@triifirman Wkwkwkwkwk kasian bapak gojek sama grab sama maxim sama tukang paket kalo mau anter paket,netral
embunputeri_,"@amalliaaf yo kan perjalanane jauh gamungkin jalan pelan"" kaya gojek :((",negatif
tr_hrynto,@lerkudz daftar gojek,netral
cilordylas,"@bertanyarl pernah di kosan ga ada makanan, mau ngambil duit jg saldo kurang, mau gojek tp bingung soalnya belum ditf takut ga cukup buat besok, akhirnya memutuskan buat tidur aja alias skip makan",netral
ahsanadia,"kalo udh lama ga naik gojek ama grab bisa dong nulis

ex-gojek
ex-grab",netral
renleejung,@pooktie Selkor nya mo naik haji deh kayanya :( Kemaren juga liat rj gojek 290k di sellkor 🤧 itu pc sama album sealed malah mahalan pc nya hhh,negatif
nvaarx,mobil / gojek https://t.co/2eOE8MH2yR,netral
dreeammies,100. gojek https://t.co/35RjzUh99C,netral
n0ireneptunia_,@sashahahahah_ Bang gojek?,netral
abllykece,"w/ rara, kita nge gojek dlu gaiss nguengg https://t.co/n91VbX6i7J",netral
giriganan,ad sapi didpn rumah tbtb treak GOJEK,netral
mognday,@jihovon @Junlkyu owh kak jihoon gojek kah? :3,netral
Aiim10525331,@putrisaamita Abang gojek,netral
indomiseleramuu,"dl pas smp kan gua naik angkot trs ke sekolahnya blm tau gojek tu, trs everyday ketemu sm cowo w lupa sekolahnya dimana, kek bnr2 brg trs everyday tp saling eye contact doang kan wkwkwk",netral
brmstiadi,"Gojek sama Tokopedia jadi GoTo, ini Bibit sama Bank Jago kudunya jadi Bigo dong ya https://t.co/0dL7iZFoSj",netral
jzacksen,@kwrstall @mutualanbase pulang mah pulang tinggal pesen gojek,netral
milkybroun,"@gojekindonesia halo min, saya mau hapus akun gojek gimana ya?",negatif
tyxngfq,"@wawahyuckx babang gojek nya udh pd tidur, gaada yg anter",negatif
strawberryckes,"@halfiemoon uhuy, mas gojek siap jemput neengg.",netral
yllbhpp,"""kok nganter gopudnya berdua?""
""iya nih penumpangnya gmau turun""
-kata mang gojek
me: 🙂🙂🙂",netral
yllbhpp,"tkt sii, nanya jalan ke gojek, dia malah bilang ""nanti aja bareng sy teh, sy ngirim dl gofud"" trs ak bilang ""oh iya sok"" trs aku kabur, pdhl mgkn niat dia baik biar aku ga nyasar🙃",netral
wahjoeeeee,@tam4rbakGulung trus yg dateng abang gojek,netral
silpiwww,padahal bawa motor tapi gua pesen gojek buat nganterin gua pulang jalanan gelap banget takut😭🥲,netral
kanjcut,"Gak bales dm:

Spam chat❌❌❌❌❌❌
Chat dari gojek✔️✔️✔️✔️✔️✔️✔️✔️✔️✔️ https://t.co/h4SAI0WYWE",netral
jmochieth,@bertanyarl kambing naik gojek https://t.co/ICWOnmtnos,netral
aslinyagalak,@sslipshood_ tar ku titip abang gojek,netral
aslinyagalak,@aangdul ini gojek apa grab kak,netral
Miaraats,"Wah wah siap siap gojek kerumah lu anter chatime ye wkakak

Jgn lupa di bayar abangnya https://t.co/pZoQVOYrSG",netral
hourlykoogi,"@ncheemy Coba kalo ga ada gojek, lu udah gelar tenda",positif
alaakeifak,@citmahs Gw ngirim nya lewat gojek apa grab nih 😂,netral
lembayungsnja,@FOODFESS2 Kalo ppkm gini sih mungkin harus lewat grab/gojek,netral
Nabumsiw,@e4rthmixx Otw ni pake gojek,netral
resikotinggii,@o_r_v_y 😂😂 tuu kan.. njir gw ke gojek,netral
Lelavalava,"Masalahnya ni Gojek gabisa dicancel bangsat. Sistemnya ngerugiin customer banget bangsat bangsat kesel gue 🙂 @gojekindonesia  

Udah sering ya kek gini. 
Driver ngeghosting, tapi customer juga gabisa cancel. Customer disuruh mampus nungguin makanan gitu?",negatif
rshaquillee,hidup itu harus di jalanin kalo cape gojek aja,netral
nnajaeminiest,"@wooymoung @ruefulrd @scrumpissue @annaclst ada bukti tweet yang menyebutkan ""gausah jajan"" 😀👍 taunya mesen gojek juga",netral
kyleydm_,@bvbblegvnn iya lumayan jauh si tempatnya tapi kek tetep aja kesel kl ongkir mahal tu mana kl pesen lewat gojek harganya lebih mahal di tempatnya asliny 13k eh di gojek 18.500 jauh kan ya,negatif
CHIFKALONG,"hidup itu berjalan kalo capek ,naik gojek.",netral
poyooyoo_,"Jadi semacam surprise gituu, tiba"" dateng bapak gojek di depan rumahnya dan bilang ""kak ini ada gosend dari temannya""",netral
matcha_lah,@manusiagoa__ gojek in aja,netral
Junlkyu,@jihovon @Hyuknsuk Kaya gojek kata gue.,netral
Junlkyu,@mognday Mau makan ap nanti dianter gojek @jihovon,netral
Nan4d0,@fluryhe4rt W kirimin pake gojek yh ke kutub🛵📦 ngengg,netral
byeongari_14,@12O1OO4 gojek,netral
callmeplease67,Laper tapi pada tutup :( mau gojek ongkir e naudzubillah,negatif
chocolatyaa,@RickyAdiet Hahaha iya.. dulu jaman gojek awal2 pun jg masih suka takut malah diculik tp dlm waktu 3 taun skrg semua lebih aman naik gojek drpd naik angkot wakaka,netral
hi_sgjm,"Mau boncengin kamu enan sayang, tar Iki jadi kang gojek siap siaga buat nganterin kamu cantik 😌 https://t.co/E7JPLo8ZKZ",netral
twantO_,"@siptebe otw. pesen gojek dlu, biar ada temen di jalan",netral
amoeroso,@JuudaimeH pernahny mau buka spotify tp kepencet gojek,netral
bbriiwiinn,@teerangbulan pke gojek ya,netral
sergholic,@gojekindonesia minta jaket gojek dong min,netral
sergholic,"idup emang pait, kalo di jalanin lebih pait, makannya naik gojek aja",netral
dvyounggiix,@blossomjjh gojek,netral
dvyounggiix,@dawawaw gojek aja,netral
HendriD75,"@gojekindonesia alahhh taii gojek asuuu
Ganti nomor aja dipersulittt udah ada bukti KTP minta disuruh inget kapan terakhir isi gopay anjingg , udh 1thn ngga loginn suu mana ingat gue pesan apa aja di gojek bangsattt",negatif
woffmark,@echanfucker ga ada gojek yang suaranya ngengg ngengg,netral
chcomilkshk_,"@gojekindonesia min sy kan msih ada gopay, tpi gojek nya sllu g bisa kebuka krna harus bkin pin dulu. Sdngkan nmr sy yg di gojek udh mati, jdi gmn ya min?",netral
widyadewiprb,"@ArnoldPoernomo Positif thinking, mereka gojek yg lg ambil pesanan org yg lg isoman chef",netral
fuzzyface___,@clynophi_ Abang gojek:(,netral
SunHigh11,@nohuruharaclub Saking jauhnya mungkin Abang gojek kelaperan🤣🤣,netral
ilygorou,@akvtagcwa gojek terus pas duit abis langsung panik,negatif
ccutiemarkeu,"@bbrownsgr biar ga serem gini aja, gojek nya elo kasi sayap sp tau bisa terbang terus sat set sat set sampe dirumah w 😋😋",netral
grumpyykid,@bbyrdvlvt Msa aku klo mw naik gojek tnya dulu mas mas nya single apa gxxx 😩,netral
gilb_erttt,@goofyyhoney Ndak ada gojek aku aja antar in rendangnya kerumah tunggu depan!🥰,netral
FaRiD21863471,@BundaAiz88 Bentar say.. order GoJek dulu buat ngirimnya..,netral
b00bacuote,@sbyfess la kon ngejak pacaran ta daftar gojek kok ono syarat minimum barang,negatif
b00bacuote,@crushinakudong laiku ate golek pacar tah ate daftar gojek kok ono syarat minimal barang,negatif
AnandaaSP,"@nabilanggitae hahahahaha

pake helm gojek juga ampuh banget 🤣🤣",netral
nisciken,@athayanai Engga tau sih tapi itu promo gojek gopay,netral
hartakaruneri,@anakgantenggggg @aylikebunny @assummwin @ykhunn @peachiessky @GrabID Lah si Abang gojek nya berkhianat,negatif
jihanhrvn,Membuatku ingin apus aplikasi gojek ganti grab aja😤😤 capekk bangett gaada tanggapannya padahal dah jelas jelas saldo atm dah berkurang🙄🙄,negatif
hourgreen,@ecapost Daerah gue bukan yg terjangkau sama gojek/grab wkwk,negatif
UNSfess_,-11fess aplikasi gojek kalian lemot gasi? apa cuma gw doang,negatif
mcfluffyw,Ih ini gojek gua knp lama bgt sii 😔,negatif
natjaemie,@GOBYSAR ada yang mau sharing ga? aku mau take rj gojek 😩,negatif
gojekindonesia,"@anchamow Hai, mohon maaf sebelumnya. Terkait untuk perubahan nomor telepon kamu agar dapat kami bantu, silakan kamu mengirimkan email ke customerservice@go-jek.com dengan menggunakan email yang terdaftar pada akun Gojek kamu ya. Terima kasih^Ari",negatif
amhvrx,Ihh disini g bisa akses gojek 😔,negatif
fadriaa,Seneng banget nemu makanan ala ala gini deket rumah. Makasih abang gojek https://t.co/uKXxnfqOY1,positif
jienozlee,@heftboozie wkkwkwkw please disini ga ada gojek,negatif
diherdiansyah,"@gojekindonesia Top up gopay malem kemaren nih, tepatnya tgl 18/07/2021. Biasanya langsung masuk ini engga dong udah di cek apps gojek nya belom masuk, nah gw kaget cek saldo atm lagi ternyata sudah kepotong. Sampe skrg saldo belum masuk. ""Jangan khawatir ya"" mau khawatir gmna🤣 https://t.co/ZPADZsKf3J",negatif
kanbeedaisuke,"Gak peduli sama keributan diteel, yang aku inginkan sekarang adalah ngajak ribut tukang ketoprak yang di grab buka, eh di gojek malah tutup 😭😭😭",netral
hahanip,"@gojekindonesia Saya gatau lagi harus minta tolong kemana. Mengajukan perubahan data pemilik mitra usaha tapi ga selesai2. 
1. Email udah 6hari. 
2. Via bantuan app udah 3hari.
3. Telp call center gojek minta dialihkan ke 021-1500171 tp gabisa dihubungi.
Harus gimana ??? https://t.co/7fhGHrdmvi",negatif
DavidHarun5,@gojekindonesia Maju terus Gojek Indonesia 👍,positif
RHanantariksa,"Baru hari ini donlod apliksi gojek yg tak kira bakalan gak penting² bnget karena aku orngnya budalan tok (mending berngkat sendiri), eh ternyata di saat pndemi sperti ini aplikasi ini lah yg bisa diandalkan untuk berbagi. Tnks babang ojol jangan lupa jaga kesehtan 💪",positif
jaeours,"@baseumum grab, gojek sekarang mahal ongkirnya. tapi tergantung promo juga sih",negatif
jaeours,"@kefilag @baseumum iya siii, tapi ongkirnya gojek tuh mahal tau 😭💔",negatif
istri_shxxbi,"dah lahh 💔 ga ongkir shopee, ga ongkir gojek, dapetnya mahall mulu 😔 https://t.co/6TbiCOHyav",negatif
ayhusnaR,Makasih bapa2 gojek yg mau nganterin obat2 buat pasien isoman 🥺,positif
kefilag,"@jaeours @baseumum mjb, tapi grab harganya lebih mahalan dikit sari gojek ga sii 😭",negatif
aisahdewi87,"“Gopay di blokir tanpa sepihak dan tidak ada tanggung jawab”

Thread
Pada tgl 13 juli gopay saya di blokir tnpa sepihak oleh pihak gojek dan tdk ada konfirmasi apapun, sdh sekian kali sya komplain melalui twitter, email, instagram maupun telpon lgsung ke cs tdk ada tndk lnjutnya",negatif
vtube_advertise,@gojekindonesia Dear @gojekindonesia saya mau menutup permanen akun gojek sy,negatif
vtube_advertise,@gojekindonesia @24O36 Tolongggg.. non aktifkan akun gojek saya.. dear @gojekindonesia 😷😷😷😷😷😷,negatif
xxxiseyo29,@gojekindonesia halo saya beli pulsa 3 di gojek pula 50rb bonus 50rb tapi kenapa bonus nya gak masuk2 ya???,negatif
aangdul,"@gojekindonesia Dobel masker, bawa handsanitizer, cuci tnagan dnegan air mengalir dan sabun, jaga jarak serta tentunya beli makan menggunakan Gojek 😁 #ProteksiEkstra",positif
Arjerrr_,"Hari ini mau berterima kasih sama kang Gojek &amp; Grab, udah bisa anterin bolak balik ngurus bareng” yg mau dikirim😞 seharian kerjaannya urusin ini dri siang sampai jam segini baru kelar😊 jngan lupa bersyukur gais🙏 https://t.co/dBSLGGxs2w",negatif
bukanhanako,@hyuuniversal Gojek wangy wangi wangi😣💕💕,positif
inguskumeler,"@gojekindonesia 1. Pake masker
2. Pasti jaga jarak
3. Cuci tangan dengan sabun
4. Menghindari kerumunan
5. Bayar apa pake gopay(cash less), bayar aman tanpa kontak fisik
6. Kurangi mobilitas, lebih sering gofood dari pada makan diluar. Selain membantu umkm jg bantu driver gojek #ProteksiEKSTRA",positif
choisoojunn,"@jayeonra Banyak nemu di komen base, di tiktok juga kalo cewe yg suka nebeng tmn cowonya tuh gatel, gapunya duit buat gojek apa:( sejujurnya emg punya sih tp aku emg anti kapitalis mikirnya mending uangnya buat jajan makanan daripada bayar gojek mahal😭😭😭",negatif
ikaqodriya,"nanges beneran orang pada baik2 ya Allah terimakasih. bantuin ini itu, saudara temen on guard 24 jam, even pak gojek ramah2 bgt kalo nganter barang😭 

special thanks to this @Mitapratistaa hwe dan kawan lain yg ga folo2an twitter wkaka. luv.",positif
Aleksandryax,@FOODFESS2 Maxim coba nderr aku pernah coba kalau di Jogja apalagi pas Grab atau Gojek mahal banget,negatif
BastardRick,"@babyppu666 @Shaloooms bgst ko gue kesel bacany 🙏🏼
cathering nya gojek y",negatif
istrinyaexo12e,@AnisKholilah1 Punya gojek gak kak?,netral
jiihoonrp,@johnnyjsah Pake gojek ya hyung biar aman☺️👍,positif
rrrmdn,"@pybpya hidup itu berjalan, kalo capek naik gojek aja",netral
bibieee____,@bertanyarl yang sering dipesen digrab/gojek?,netral
ErvanHaris,Sering.. Pas oleh penumpang arek wedok 😅 #gojek https://t.co/hRwmll1bVn,netral
Andrew_rmdhni,@butteroreoo Tinggal gojek 🙃,netral
Undetected____,"@baeeeKr Buka kok, tapi ga bisa dine in aja, emng enak terus rame juga sih. ada di gojek sm shopee juga. Iya gua biasanya beli sore atau Maghrib.",netral
korelisma,@semburatbiru Gojek lah.,netral
zaahtuun,"coba kantor dkt ya, pgn makan ini juga 😭 knp bukanya malem doang 😭 mau gojek mahal ongkir hahaha tp yg rebus gk mngkn jg bisa digojekin 😔 https://t.co/S4jOh9OoDy",negatif
teuamoe,"maaf ngotorin tl kalian

GUE BETE BGT AMA GOJEK",negatif
elyasiscaa,"hari ini harus istirahat lebih awal, capek jg nunggu abang abang grab sama gojek didpn rumah.",negatif
creamy14lop,"pengennya dibeliin males bgt keluar rumah soalnyaaa, gojek grab jga gada di daerah akuuu suckkk banget",negatif
anecdoch,@nggamainrp Oke gua pesen gojek dulu,netral
Daryhar,gojek sby harga ongkir nek turun kek main crypto njir,negatif
JimmiTujuh,Bangsat gua order terbul 3x di gojek ditolak mulu..,negatif
hafizhPI,Benci bgt ppkm di app gojek nya buka pas didatengin driver tutup. Jembut,negatif
GodOfLust666,@gakadagunanya_ Gojek mcd yuk?,netral
alviomunt,punya rumah nyempil dr peradaban susahnya kl gojek mahal diongkir🥲,negatif
aimer_riska,"Inisiatif #SEMANGATNAKES dari Gojek Diapresiasi Menkes Budi Gunadi
https://t.co/wFLE0o0Vo7 https://t.co/Ltjfr3GRZC",positif
dwichepo,"Pagi ini melihat rasa terimakasih yang tulus dari seorang seorang driver gojek setelah dikasih sebotol air mineral sama pelanggannya...

Sekali lagi dapet contoh hal kecil bagi kita bisa berarti besar bagi orang lain",positif
sapingeong,naik gojek terus parfum abangnya wanginya kaya parfum siapaaa gitu lupa aroma siapa yg mana,positif
d00nghyuckk,pak gojek makasih ya🥰🥰 https://t.co/U2pqdQauY9,positif
d00nghyuckk,MAKANAN GUWEE DATENGG MAKASIH MUAH MAS GOJEK PDHL MALEM BGTTT MUAH LOVEEE🥺🥰🥰🥰😔😔🙏🙏😽😽😽😘🤫🤫😰👌😚😚😚🤍🤍 https://t.co/cUu2tauvqJ,positif
